domain,problem,rating,solved,proofValid,solveTimeMs,proofSteps,error
MGT,MGT002+1,0.0,true,true,1230,22,
PRD,PRD001+1,0.0,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/PRD001+0.ax does not exist."
COM,COM001-1,0.0,false,,30004,,"Timeout after 30000ms"
LCL,LCL004-1,0.0,false,,37,,"Solve error: key not found: Variable(X_14,Ind)"
GRA,GRA014+1,0.0,false,,30014,,"Timeout after 30000ms"
KRS,KRS001-1,0.0,false,,6686,,"Solve error: key not found: Variable(X1_55,Ind)"
GRP,GRP001-5,0.0,false,,30015,,"Timeout after 30000ms"
NUM,NUM001-1,0.0,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/NUM002-0.ax does not exist."
MGT,MGT004+1,0.05,false,,872,,"No proof found"
ALG,ALG211+1,0.05,false,,30010,,"Timeout after 30000ms"
COM,COM007+1,0.05,false,,30010,,"Timeout after 30000ms"
LCL,LCL644+1.001,0.05,true,true,3,3,
KRS,KRS132+1,0.05,true,true,894,16,
GRP,GRP003-2,0.06,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/GRP005-0.ax does not exist."
NUM,NUM015-1,0.08,true,true,322,15,
SWB,SWB001+3,0.05,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/SWB002+0.ax does not exist."
SYO,SYO617-1,0.23,false,,30008,,"Timeout after 30000ms"
MGT,MGT067+1,0.25,false,,30003,,"Timeout after 30000ms"
LCL,LCL018-1,0.18,false,,4,,"No proof found"
KRS,KRS190+1,0.2,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/KRS001+0.ax does not exist."
GRP,GRP012+5,0.2,false,,30007,,"Timeout after 30000ms"
NUM,NUM284-1.014,0.24,false,,30002,,"Timeout after 30000ms"
CSR,CSR030+2,0.2,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/CSR002+1.ax does not exist."
SWB,SWB012+3,0.3,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/SWB002+0.ax does not exist."
SYO,SYO604+1,0.4,false,,30004,,"Timeout after 30000ms"
ANA,ANA003-2,0.41,false,,30014,,"Timeout after 30000ms"
COM,COM008+1,0.35,false,,30013,,"Timeout after 30000ms"
LCL,LCL002-1,0.35,false,,33,,"Solve error: key not found: Variable(X_14,Ind)"
KRS,KRS260+1,0.35,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/KRS001+0.ax does not exist."
PUZ,PUZ034-1.004,0.38,false,,30025,,"Timeout after 30000ms"
CSR,CSR036+2,0.35,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/CSR002+1.ax does not exist."
SYN,SYN353-1,0.38,false,,14605,,"Solve error: key not found: Variable(Y3_167,Ind)"
LCL,LCL054-1,0.53,false,,30022,,"Timeout after 30000ms"
KRS,KRS261+1,0.55,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/KRS001+0.ax does not exist."
PUZ,PUZ056-2.015,0.67,false,,13148,,"No proof found"
NUM,NUM017-1,0.59,false,,30013,,"Timeout after 30000ms"
CSR,CSR040+3,0.55,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/CSR002+2.ax does not exist."
SYN,SYN616-1,0.53,false,,30005,,"Timeout after 30000ms"
SWV,SWV418-1.700,0.62,false,,30018,,"Timeout after 30000ms"
NUN,NUN085+1,0.55,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/NUM009+0.ax does not exist."
ANA,ANA002-1,0.77,false,,30013,,"Timeout after 30000ms"
FLD,FLD016-1,0.69,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/FLD001-0.ax does not exist."
COM,COM005-1,0.77,false,,30023,,"Timeout after 30000ms"
LCL,LCL365+2,0.7,false,,30079,,"Timeout after 30000ms"
KRS,KRS264+1,0.7,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/KRS001+0.ax does not exist."
CSR,CSR036+3,0.7,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/CSR002+2.ax does not exist."
SYN,SYN615-1,0.71,false,,30045,,"Timeout after 30000ms"
SWV,SWV418-1.820,0.75,false,,30022,,"Timeout after 30000ms"
SYO,SYO615-1,0.85,false,,30039,,"Timeout after 30000ms"
ANA,ANA004-5,0.85,false,,30030,,"Timeout after 30000ms"
FLD,FLD011-1,0.85,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/FLD001-0.ax does not exist."
LCL,LCL028+2,0.85,false,,30125,,"Timeout after 30000ms"
SYN,SYN314-1.002.001,0.85,false,,30038,,"Timeout after 30000ms"
SWV,SWV419-1.040,0.88,false,,30043,,"Timeout after 30000ms"
NUN,NUN057+1,0.9,false,,0,,"Parse error: TPTP environment variable not set, and file Axioms/NUM009+0.ax does not exist."
ROB,ROB025-1,1.0,false,,30056,,"Timeout after 30000ms"
